Date;Tasa de política monetaria;Tipo de cambio Minorista;Suma de results.valor;cauciones;tasa de descuentos de cheques diferidos;;;tasa de prestamos personal
4/1/2016 00:00;33;13.31;;;;;;
5/1/2016 00:00;33;13.88;;;;;;
6/1/2016 00:00;32;14.04;;;;;;
7/1/2016 00:00;32;14.16;;;;;;
8/1/2016 00:00;32;14.1;;;;;;
11/1/2016 00:00;32;14.06;;;;;;
12/1/2016 00:00;32;13.82;;;;;;
13/1/2016 00:00;31;13.82;;;;;;
14/1/2016 00:00;31;13.63;;;;;;
15/1/2016 00:00;31;13.72;;;;;;
18/1/2016 00:00;31;13.73;;;;;;
19/1/2016 00:00;31;13.69;;;;;;
20/1/2016 00:00;31;13.7;;;;;;
21/1/2016 00:00;31;13.83;;;;;;
22/1/2016 00:00;31;13.96;;;;;;
25/1/2016 00:00;31;14.02;;;;;;
26/1/2016 00:00;31;14.07;;;;;;
27/1/2016 00:00;30,75;14.1;;;;;;
28/1/2016 00:00;30,75;14.12;;;;;;
29/1/2016 00:00;30,75;14.13;;;;;;
31/1/2016 00:00;;;4.1;;;;;
1/2/2016 00:00;30,75;14.27;;;;;;
2/2/2016 00:00;30,75;14.32;;;;;;
3/2/2016 00:00;30,5;14.35;;;;;;
4/2/2016 00:00;30,5;14.38;;;;;;
5/2/2016 00:00;30,5;14.54;;;;;;
10/2/2016 00:00;30,25;14.71;;;;;;
11/2/2016 00:00;30,25;14.78;;;;;;
12/2/2016 00:00;30,25;14.95;;;;;;
15/2/2016 00:00;30,25;14.95;;;;;;
16/2/2016 00:00;30,25;14.99;;;;;;
17/2/2016 00:00;30,5;15.11;;;;;;
18/2/2016 00:00;30,5;15.24;;;;;;
19/2/2016 00:00;30,5;15.24;;;;;;
22/2/2016 00:00;30,5;15.37;;;;;;
23/2/2016 00:00;30,5;15.64;;;;;;
24/2/2016 00:00;31,15;15.55;;;;;;
25/2/2016 00:00;31,15;15.56;;;;;;
26/2/2016 00:00;31,15;15.69;;;;;;
29/2/2016 00:00;31,15;15.88;2.7;;;;;
1/3/2016 00:00;31,15;16.07;;;;;;
2/3/2016 00:00;37;15.88;;;;;;
3/3/2016 00:00;37;15.48;;;;;;
4/3/2016 00:00;37;15.44;;;;;;
7/3/2016 00:00;37;15.59;;;;;;
8/3/2016 00:00;37;15.65;;;;;;
9/3/2016 00:00;38;15.59;;;;;;
10/3/2016 00:00;38;15.57;;;;;;
11/3/2016 00:00;38;15.2;;;;;;
14/3/2016 00:00;38;15;;;;;;
15/3/2016 00:00;38;14.85;;;;;;
16/3/2016 00:00;38;14.8;;;;;;
17/3/2016 00:00;38;15.04;;;;;;
18/3/2016 00:00;38;15.08;;;;;;
21/3/2016 00:00;38;14.7;;;;;;
22/3/2016 00:00;38;14.63;;;;;;
23/3/2016 00:00;38;14.71;;;;;;
28/3/2016 00:00;38;14.98;;;;;;
29/3/2016 00:00;38;14.87;;;;;;
30/3/2016 00:00;38;14.84;;;;;;
31/3/2016 00:00;38;14.89;3;;;;;
1/4/2016 00:00;38;15;;;;;;
4/4/2016 00:00;38;15.04;;;;;;
5/4/2016 00:00;38;14.92;;;;;;
6/4/2016 00:00;38;14.93;;;;;;
7/4/2016 00:00;38;14.77;;;;;;
8/4/2016 00:00;38;14.69;;;;;;
11/4/2016 00:00;38;14.74;;;;;;
12/4/2016 00:00;38;14.74;;;;;;
13/4/2016 00:00;38;14.63;;;;;;
14/4/2016 00:00;38;14.62;;;;;;
15/4/2016 00:00;38;14.48;;;;;;
18/4/2016 00:00;38;14.38;;;;;;
19/4/2016 00:00;38;14.43;;;;;;
20/4/2016 00:00;38;14.54;;;;;;
21/4/2016 00:00;38;14.66;;;;;;
22/4/2016 00:00;38;14.62;;;;;;
25/4/2016 00:00;38;14.59;;;;;;
