Date,Tasa de política monetaria,Tipo de cambio Minorista,Suma de results.valor
2016-01-04 00:00:00,"33,00",13.31,
2016-01-05 00:00:00,"33,00",13.88,
2016-01-06 00:00:00,"32,00",14.04,
2016-01-07 00:00:00,"32,00",14.16,
2016-01-08 00:00:00,"32,00",14.1,
2016-01-11 00:00:00,"32,00",14.06,
2016-01-12 00:00:00,"32,00",13.82,
2016-01-13 00:00:00,"31,00",13.82,
2016-01-14 00:00:00,"31,00",13.63,
2016-01-15 00:00:00,"31,00",13.72,
2016-01-18 00:00:00,"31,00",13.73,
2016-01-19 00:00:00,"31,00",13.69,
2016-01-20 00:00:00,"31,00",13.7,
2016-01-21 00:00:00,"31,00",13.83,
2016-01-22 00:00:00,"31,00",13.96,
2016-01-25 00:00:00,"31,00",14.02,
2016-01-26 00:00:00,"31,00",14.07,
2016-01-27 00:00:00,"30,75",14.1,
2016-01-28 00:00:00,"30,75",14.12,
2016-01-29 00:00:00,"30,75",14.13,
2016-01-31 00:00:00,,,4.1
2016-02-01 00:00:00,"30,75",14.27,
2016-02-02 00:00:00,"30,75",14.32,
2016-02-03 00:00:00,"30,50",14.35,
2016-02-04 00:00:00,"30,50",14.38,
2016-02-05 00:00:00,"30,50",14.54,
2016-02-10 00:00:00,"30,25",14.71,
2016-02-11 00:00:00,"30,25",14.78,
2016-02-12 00:00:00,"30,25",14.95,
2016-02-15 00:00:00,"30,25",14.95,
2016-02-16 00:00:00,"30,25",14.99,
2016-02-17 00:00:00,"30,50",15.11,
2016-02-18 00:00:00,"30,50",15.24,
2016-02-19 00:00:00,"30,50",15.24,
2016-02-22 00:00:00,"30,50",15.37,
2016-02-23 00:00:00,"30,50",15.64,
2016-02-24 00:00:00,"31,15",15.55,
2016-02-25 00:00:00,"31,15",15.56,
2016-02-26 00:00:00,"31,15",15.69,
2016-02-29 00:00:00,"31,15",15.88,2.7
2016-03-01 00:00:00,"31,15",16.07,
2016-03-02 00:00:00,"37,00",15.88,
2016-03-03 00:00:00,"37,00",15.48,
2016-03-04 00:00:00,"37,00",15.44,
2016-03-07 00:00:00,"37,00",15.59,
2016-03-08 00:00:00,"37,00",15.65,
2016-03-09 00:00:00,"38,00",15.59,
2016-03-10 00:00:00,"38,00",15.57,
2016-03-11 00:00:00,"38,00",15.2,
2016-03-14 00:00:00,"38,00",15,
2016-03-15 00:00:00,"38,00",14.85,
2016-03-16 00:00:00,"38,00",14.8,
2016-03-17 00:00:00,"38,00",15.04,
2016-03-18 00:00:00,"38,00",15.08,
2016-03-21 00:00:00,"38,00",14.7,
2016-03-22 00:00:00,"38,00",14.63,
2016-03-23 00:00:00,"38,00",14.71,
2016-03-28 00:00:00,"38,00",14.98,
2016-03-29 00:00:00,"38,00",14.87,
2016-03-30 00:00:00,"38,00",14.84,
2016-03-31 00:00:00,"38,00",14.89,3
2016-04-01 00:00:00,"38,00",15,
2016-04-04 00:00:00,"38,00",15.04,
2016-04-05 00:00:00,"38,00",14.92,
2016-04-06 00:00:00,"38,00",14.93,
2016-04-07 00:00:00,"38,00",14.77,
2016-04-08 00:00:00,"38,00",14.69,
2016-04-11 00:00:00,"38,00",14.74,
2016-04-12 00:00:00,"38,00",14.74,
2016-04-13 00:00:00,"38,00",14.63,
2016-04-14 00:00:00,"38,00",14.62,
2016-04-15 00:00:00,"38,00",14.48,
2016-04-18 00:00:00,"38,00",14.38,
2016-04-19 00:00:00,"38,00",14.43,
2016-04-20 00:00:00,"38,00",14.54,
2016-04-21 00:00:00,"38,00",14.66,
2016-04-22 00:00:00,"38,00",14.62,
2016-04-25 00:00:00,"38,00",14.59,
2016-04-26 00:00:00,"38,00",14.57,
2016-04-27 00:00:00,"38,00",14.47,
2016-04-28 00:00:00,"38,00",14.49,
2016-04-29 00:00:00,"38,00",14.51,
2016-04-30 00:00:00,,,3.4
2016-05-02 00:00:00,"38,00",14.52,
2016-05-03 00:00:00,"38,00",14.46,
2016-05-04 00:00:00,"37,50",14.47,
2016-05-05 00:00:00,"37,50",14.52,
2016-05-06 00:00:00,"37,50",14.5,
2016-05-09 00:00:00,"37,50",14.48,
2016-05-10 00:00:00,"37,50",14.5,
2016-05-11 00:00:00,"37,50",14.5,
2016-05-12 00:00:00,"37,50",14.46,
2016-05-13 00:00:00,"37,50",14.44,
2016-05-16 00:00:00,"37,50",14.42,
2016-05-17 00:00:00,"37,50",14.38,
2016-05-18 00:00:00,"36,75",14.38,
2016-05-19 00:00:00,"36,75",14.36,
2016-05-20 00:00:00,"36,75",14.31,
2016-05-23 00:00:00,"36,75",14.28,
2016-05-24 00:00:00,"36,75",14.29,
2016-05-26 00:00:00,"35,25",14.3,
2016-05-27 00:00:00,"35,25",14.23,
2016-05-30 00:00:00,"35,25",14.23,
2016-05-31 00:00:00,"35,25",14.25,4.2
2016-06-01 00:00:00,"34,25",14.22,
2016-06-02 00:00:00,"34,25",14.17,
2016-06-03 00:00:00,"34,25",14.14,
2016-06-06 00:00:00,"34,25",14.03,
2016-06-07 00:00:00,"34,25",14.07,
2016-06-08 00:00:00,"33,25",14.07,
2016-06-09 00:00:00,"33,25",14.09,
2016-06-10 00:00:00,"33,25",14.08,
2016-06-13 00:00:00,"33,25",14.07,
2016-06-14 00:00:00,"33,25",14.03,
2016-06-15 00:00:00,"32,25",14.01,
2016-06-16 00:00:00,"32,25",14.12,
2016-06-21 00:00:00,"32,25",14.16,
2016-06-22 00:00:00,"31,50",14.3,
2016-06-23 00:00:00,"31,50",14.54,
2016-06-24 00:00:00,"31,50",15.09,
2016-06-27 00:00:00,"31,50",15.42,
2016-06-28 00:00:00,"31,50",15.21,
2016-06-29 00:00:00,"30,75",15.17,
2016-06-30 00:00:00,"30,75",15.21,3.1
2016-07-01 00:00:00,"30,75",15.33,
2016-07-04 00:00:00,"30,75",15.32,
2016-07-05 00:00:00,"30,75",15.19,
2016-07-06 00:00:00,"30,25",15.01,
2016-07-07 00:00:00,"30,25",14.92,
2016-07-11 00:00:00,"30,25",14.95,
2016-07-12 00:00:00,"30,25",14.86,
2016-07-13 00:00:00,"30,25",14.83,
2016-07-14 00:00:00,"30,25",14.94,
2016-07-15 00:00:00,"30,25",15.2,
2016-07-18 00:00:00,"30,25",15.35,
2016-07-19 00:00:00,"30,25",15.26,
2016-07-20 00:00:00,"30,25",15.23,
2016-07-21 00:00:00,"30,25",15.29,
2016-07-22 00:00:00,"30,25",15.16,
2016-07-25 00:00:00,"30,25",15.16,
2016-07-26 00:00:00,"30,25",15.17,
2016-07-27 00:00:00,"30,25",15.21,
2016-07-28 00:00:00,"30,25",15.26,
2016-07-29 00:00:00,"30,25",15.29,
2016-07-31 00:00:00,,,2
2016-08-01 00:00:00,"30,25",15.22,
2016-08-02 00:00:00,"30,25",15.11,
2016-08-03 00:00:00,"30,00",15.09,
2016-08-04 00:00:00,"30,00",15.1,
